Date,AAPL,AMZN,GOOGL,MSFT
2021-03-01,118.97355651855469,154.70399475097656,102.35265350341797,226.2353515625
2021-04-01,128.0414581298828,173.37100219726562,116.79254913330078,241.9817352294922
2021-05-01,121.36959075927734,161.15350341796875,116.95880126953125,239.5828399658203
2021-06-01,133.62503051757812,172.00799560546875,121.17394256591797,260.5448913574219
2021-07-01,142.30828857421875,166.37950134277344,133.71617126464844,274.0194396972656
2021-08-01,148.13294982910156,173.5395050048828,143.61241149902344,290.34075927734375
2021-09-01,138.26132202148438,164.2519989013672,132.6735382080078,271.66278076171875
2021-10-01,146.37132263183594,168.6215057373047,146.93580627441406,319.5545654296875
2021-11-01,161.51658630371094,175.35350036621094,140.83340454101562,318.56195068359375
2021-12-01,173.7589569091797,166.7169952392578,143.76576232910156,324.6764831542969
2022-01-01,171.0288543701172,149.57350158691406,134.28883361816406,300.2136535644531
2022-02-01,161.57615661621094,153.56300354003906,134.0442352294922,288.4457092285156
2022-03-01,171.0802001953125,162.99749755859375,138.0246124267578,298.2515869140625
2022-04-01,154.4630126953125,124.28150177001953,113.25377655029297,268.4660949707031
2022-05-01,145.83111572265625,120.20950317382812,112.90890502929688,263.00042724609375
2022-06-01,134.15296936035156,106.20999908447266,108.14586639404297,249.02976989746094
2022-07-01,159.45870971679688,134.9499969482422,115.44770812988281,272.21356201171875
2022-08-01,154.26806640625,126.7699966430664,107.40845489501953,253.52879333496094
2022-09-01,135.7935333251953,113.0,94.9327163696289,226.3058624267578
2022-10-01,150.66989135742188,102.44000244140625,93.80126190185547,225.5576629638672
2022-11-01,145.45237731933594,96.54000091552734,100.23267364501953,247.9161834716797
2022-12-01,127.87931060791016,84.0,87.568359375,233.6866455078125
2023-01-01,142.01268005371094,103.12999725341797,98.09878540039062,241.47232055664062
2023-02-01,145.0834197998047,94.2300033569336,89.38463592529297,243.0411376953125
2023-03-01,162.54518127441406,103.29000091552734,102.95211791992188,281.63043212890625
2023-04-01,167.2569122314453,105.44999694824219,106.53504943847656,300.1518249511719
2023-05-01,174.71885681152344,120.58000183105469,121.94859313964844,320.79296875
2023-06-01,191.46453857421875,130.36000061035156,118.80236053466797,333.38916015625
2023-07-01,193.91249084472656,133.67999267578125,131.7247314453125,328.8662109375
2023-08-01,185.44329833984375,138.00999450683594,135.14886474609375,320.87750244140625
2023-09-01,169.22671508789062,127.12000274658203,129.87867736816406,309.7741394042969
2023-10-01,168.7918243408203,133.08999633789062,123.14952850341797,331.71099853515625
2023-11-01,187.74964904785156,146.08999633789062,131.5361328125,371.7388000488281
2023-12-01,190.5504608154297,151.94000244140625,138.64247131347656,369.6719055175781
2024-01-01,182.50405883789062,155.1999969482422,139.04937744140625,390.84710693359375
2024-02-01,178.89158630371094,176.75999450683594,137.4216766357422,406.63519287109375
2024-03-01,169.93344116210938,180.3800048828125,149.7981719970703,414.3601379394531
2024-04-01,168.7938232421875,175.0,161.55929565429688,383.4446105957031
2024-05-01,190.51612854003906,176.44000244140625,171.2064208984375,408.8546142578125
2024-06-01,209.0035400390625,193.25,180.78402709960938,440.9875793457031
2024-07-01,220.3756103515625,186.97999572753906,170.44900512695312,412.76910400390625
2024-08-01,227.2425079345703,178.5,162.34091186523438,411.5753173828125
2024-09-01,231.4794464111328,186.3300018310547,164.7952117919922,425.324951171875
2024-10-01,224.43569946289062,186.39999389648438,170.2473602294922,401.65185546875
2024-11-01,235.7812042236328,207.88999938964844,168.09823608398438,418.5639953613281
2024-12-01,249.05946350097656,219.38999938964844,188.34564208984375,417.4606018066406
2025-01-01,234.71778869628906,237.67999267578125,203.2240753173828,411.08233642578125
2025-02-01,240.5260772705078,212.27999877929688,169.61572265625,393.1855163574219
2025-03-01,221.16607666015625,190.25999450683594,154.03672790527344,372.5379943847656
2025-04-01,211.57785034179688,184.4199981689453,158.3626708984375,392.25701904296875
2025-05-01,199.97842407226562,205.00999450683594,171.2670440673828,456.8623962402344
2025-06-01,204.5475311279297,219.38999938964844,175.74465942382812,494.53717041015625
2025-07-01,206.9402618408203,234.11000061035156,191.60317993164062,530.4187622070312
2025-08-01,231.4357147216797,229.0,212.58070373535156,503.7635803222656
2025-09-01,254.14559936523438,219.57000732421875,242.72401428222656,515.8051147460938
2025-10-01,269.85565185546875,244.22000122070312,281.0061950683594,515.6656494140625
2025-11-01,278.31951904296875,233.22000122070312,319.970703125,489.9725341796875
2025-12-01,271.6058349609375,230.82000732421875,312.79541015625,482.5186767578125
2026-01-01,259.2374267578125,239.3000030517578,338.0,429.31011962890625
2026-02-01,264.3326416015625,210.11000061035156,314.9800109863281,396.3254089355469
